0.0,1.0,1.0,1.0,1.0
0.01,1.0,1.0,1.0,1.0
0.02,1.0,1.0,1.0,1.0
0.03,1.0,1.0,1.0,1.0
0.04,1.0,1.0,1.0,1.0
0.05,1.0,1.0,1.0,1.0
0.06,1.0,1.0,1.0,1.0
0.07,1.0,1.0,1.0,1.0
0.08,1.0,1.0,1.0,1.0
0.09,1.0,1.0,1.0,1.0
0.1,1.0,1.0,1.0,1.0
0.11,1.0,1.0,1.0,1.0
0.12,1.0,1.0,1.0,1.0
0.13,1.0,1.0,1.0,1.0
0.14,1.0,1.0,1.0,1.0
0.15,1.0,1.0,1.0,1.0
0.16,1.0,1.0,1.0,1.0
0.17,1.0,1.0,1.0,1.0
0.18,1.0,1.0,1.0,1.0
0.19,1.0,1.0,1.0,1.0
0.2,1.0,1.0,1.0,1.0
0.21,1.0,1.0,1.0,1.0
0.22,1.0,1.0,1.0,1.0
0.23,1.0,1.0,1.0,1.0
0.24,1.0,0.9921259842519685,1.0,1.0
0.25,1.0,0.9878048780487805,1.0,1.0
0.26,1.0,0.9878048780487805,1.0,1.0
0.27,1.0,0.9878048780487805,1.0,1.0
0.28,0.9932885906040269,0.9878048780487805,1.0,1.0
0.29,0.9876923076923076,0.9878048780487805,1.0,1.0
0.3,0.9876923076923076,0.9878048780487805,1.0,1.0
0.31,0.9876923076923076,0.9878048780487805,1.0,1.0
0.32,0.9876923076923076,0.9836956521739131,1.0,1.0
0.33,0.9876923076923076,0.9836956521739131,1.0,1.0
0.34,0.9876923076923076,0.9836956521739131,1.0,1.0
0.35000000000000003,0.9876923076923076,0.9818181818181818,1.0,1.0
0.36,0.9876923076923076,0.9818181818181818,1.0,1.0
0.37,0.9876923076923076,0.9818181818181818,1.0,1.0
0.38,0.9876923076923076,0.9818181818181818,1.0,1.0
0.39,0.9876923076923076,0.9818181818181818,1.0,1.0
0.4,0.9876923076923076,0.9818181818181818,1.0,1.0
0.41000000000000003,0.9876923076923076,0.9818181818181818,1.0,1.0
0.42,0.9876923076923076,0.9793103448275862,1.0,1.0
0.43,0.9876923076923076,0.9793103448275862,1.0,1.0
0.44,0.9876923076923076,0.9793103448275862,1.0,1.0
0.45,0.9876923076923076,0.9793103448275862,1.0,1.0
0.46,0.9876923076923076,0.9793103448275862,1.0,1.0
0.47000000000000003,0.9876923076923076,0.9793103448275862,1.0,1.0
0.48,0.9876923076923076,0.9793103448275862,1.0,1.0
0.49,0.9876923076923076,0.9793103448275862,1.0,1.0
0.5,0.9876923076923076,0.9793103448275862,1.0,1.0
0.51,0.9876923076923076,0.9793103448275862,1.0,1.0
0.52,0.9876923076923076,0.9793103448275862,1.0,1.0
0.53,0.9876923076923076,0.9793103448275862,1.0,1.0
0.54,0.9876923076923076,0.9793103448275862,1.0,1.0
0.55,0.9876923076923076,0.9781420765027322,1.0,1.0
0.56,0.9876923076923076,0.9781420765027322,1.0,1.0
0.5700000000000001,0.9876923076923076,0.9781420765027322,1.0,1.0
0.58,0.9876923076923076,0.9781420765027322,1.0,1.0
0.59,0.9876923076923076,0.9781420765027322,1.0,1.0
0.6,0.9876923076923076,0.9781420765027322,1.0,1.0
0.61,0.9876923076923076,0.9781420765027322,1.0,1.0
0.62,0.9863387978142076,0.9781420765027322,1.0,1.0
0.63,0.9863387978142076,0.9781420765027322,1.0,1.0
0.64,0.9863387978142076,0.9781420765027322,1.0,1.0
0.65,0.9863387978142076,0.9781420765027322,1.0,1.0
0.66,0.9863387978142076,0.9781420765027322,1.0,1.0
0.67,0.9863387978142076,0.9781420765027322,1.0,1.0
0.68,0.9863387978142076,0.9781420765027322,1.0,1.0
0.6900000000000001,0.9863387978142076,0.976063829787234,1.0,1.0
0.7000000000000001,0.982051282051282,0.976063829787234,1.0,1.0
0.71,0.982051282051282,0.971830985915493,1.0,1.0
0.72,0.982051282051282,0.971830985915493,1.0,1.0
0.73,0.982051282051282,0.971830985915493,1.0,1.0
0.74,0.9801488833746899,0.971830985915493,1.0,1.0
0.75,0.9801488833746899,0.971830985915493,1.0,1.0
0.76,0.9780487804878049,0.971830985915493,1.0,1.0
0.77,0.9757281553398058,0.971830985915493,1.0,1.0
0.78,0.9694835680751174,0.971830985915493,1.0,1.0
0.79,0.9694835680751174,0.971830985915493,0.9976851851851852,1.0
0.8,0.963963963963964,0.9705215419501134,0.9976851851851852,1.0
0.81,0.963963963963964,0.9705215419501134,0.9976851851851852,1.0
0.8200000000000001,0.9622222222222222,0.968609865470852,0.9976851851851852,1.0
